Code,Country,Region,Sub-region,Income,Pillar,Sub-pillar,2020
nauru,Nauru,Oceania,Micronesia,High income,Overall,Total,3
northern-mariana-islands,Northern Mariana Islands,Oceania,Micronesia,High income,Overall,Total,1.3
palau,Palau,Oceania,Micronesia,High income,Overall,Total,3.3
united-states-minor-outlying-islands,United States Minor Outlying Islands,Oceania,Micronesia,,Overall,Total,3.9
american-samoa,American Samoa,Oceania,Polynesia,Upper middle income,Overall,Total,4.6
cook-islands,Cook Islands,Oceania,Polynesia,,Overall,Total,5.6
french-polynesia,French Polynesia,Oceania,Polynesia,High income,Overall,Total,2.3
niue,Niue,Oceania,Polynesia,,Overall,Total,5.5
pitcairn,Pitcairn,Oceania,Polynesia,,Overall,Total,5.8
samoa,Samoa,Oceania,Polynesia,Upper middle income,Overall,Total,6
tokelau,Tokelau,Oceania,Polynesia,,Overall,Total,1
tonga,Tonga,Oceania,Polynesia,Upper middle income,Overall,Total,4.3
tuvalu,Tuvalu,Oceania,Polynesia,Upper middle income,Overall,Total,3.2
wallis-and-futuna-islands,Wallis and Futuna Islands,Oceania,Polynesia,,Overall,Total,5.2
algeria,Algeria,Africa,Northern Africa,Lower middle income,People,Total,2.3
egypt,Egypt,Africa,Northern Africa,Lower middle income,People,Total,1.2
libya,Libya,Africa,Northern Africa,Upper middle income,People,Total,5.1
morocco,Morocco,Africa,Northern Africa,Lower middle income,People,Total,3.3
sudan,Sudan,Africa,Northern Africa,Low income,People,Total,6
tunisia,Tunisia,Africa,Northern Africa,Lower middle income,People,Total,1.7
western-sahara,Western Sahara,Africa,Northern Africa,,People,Total,2.4
british-indian-ocean-territory,British Indian Ocean Territory,Africa,Sub-Saharan Africa,,People,Total,2.6
burundi,Burundi,Africa,Sub-Saharan Africa,Low income,People,Total,2.2
comoros,Comoros,Africa,Sub-Saharan Africa,Lower middle income,People,Total,3.2
djibouti,Djibouti,Africa,Sub-Saharan Africa,Lower middle income,People,Total,3.5
eritrea,Eritrea,Africa,Sub-Saharan Africa,Low income,People,Total,5.7
ethiopia,Ethiopia,Africa,Sub-Saharan Africa,Low income,People,Total,2
french-southern-territories,French Southern Territories,Africa,Sub-Saharan Africa,,People,Total,1
kenya,Kenya,Africa,Sub-Saharan Africa,Lower middle income,People,Total,5.2
madagascar,Madagascar,Africa,Sub-Saharan Africa,Low income,People,Total,2.1
malawi,Malawi,Africa,Sub-Saharan Africa,Low income,People,Total,3.1
mauritius,Mauritius,Africa,Sub-Saharan Africa,High income,People,Total,3.5
mayotte,Mayotte,Africa,Sub-Saharan Africa,,People,Total,4
mozambique,Mozambique,Africa,Sub-Saharan Africa,Low income,People,Total,2.4
réunion,Réunion,Africa,Sub-Saharan Africa,,People,Total,5.1
rwanda,Rwanda,Africa,Sub-Saharan Africa,Low income,People,Total,3.8
seychelles,Seychelles,Africa,Sub-Saharan Africa,High income,People,Total,4.2
somalia,Somalia,Africa,Sub-Saharan Africa,Low income,People,Total,1.2
south-sudan,South Sudan,Africa,Sub-Saharan Africa,Low income,People,Total,3.4
uganda,Uganda,Africa,Sub-Saharan Africa,Low income,People,Total,5.1
united-republic-of-tanzania,United Republic of Tanzania,Africa,Sub-Saharan Africa,Lower middle income,People,Total,4.2
zambia,Zambia,Africa,Sub-Saharan Africa,Lower middle income,People,Total,1.4
zimbabwe,Zimbabwe,Africa,Sub-Saharan Africa,Lower middle income,People,Total,4
angola,Angola,Africa,Sub-Saharan Africa,Lower middle income,People,Total,2.2
cameroon,Cameroon,Africa,Sub-Saharan Africa,Lower middle income,People,Total,5.4
central-african-republic,Central African Republic,Africa,Sub-Saharan Africa,Low income,People,Total,5.8
chad,Chad,Africa,Sub-Saharan Africa,Low income,People,Total,3.7
congo,Congo,Africa,Sub-Saharan Africa,Lower middle income,People,Total,1.7
democratic-republic-of-the-congo,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Low income,People,Total,3.2
equatorial-guinea,Equatorial Guinea,Africa,Sub-Saharan Africa,Upper middle income,People,Total,2.9
gabon,Gabon,Africa,Sub-Saharan Africa,Upper middle income,People,Total,5.1
sao-tome-and-principe,Sao Tome and Principe,Africa,Sub-Saharan Africa,Lower middle income,People,Total,2.8
botswana,Botswana,Africa,Sub-Saharan Africa,Upper middle income,People,Total,4.7
eswatini,Eswatini,Africa,Sub-Saharan Africa,Lower middle income,People,Total,2
lesotho,Lesotho,Africa,Sub-Saharan Africa,Lower middle income,People,Total,1.6
namibia,Namibia,Africa,Sub-Saharan Africa,Upper middle income,People,Total,1.7
south-africa,South Africa,Africa,Sub-Saharan Africa,Upper middle income,People,Total,4.4
benin,Benin,Africa,Sub-Saharan Africa,Lower middle income,People,Total,2.8
burkina-faso,Burkina Faso,Africa,Sub-Saharan Africa,Low income,People,Total,3
cabo-verde,Cabo Verde,Africa,Sub-Saharan Africa,Lower middle income,People,Total,1.7
côte-d’ivoire,Côte d’Ivoire,Africa,Sub-Saharan Africa,Lower middle income,People,Total,5.7
gambia,Gambia,Africa,Sub-Saharan Africa,Low income,People,Total,4
ghana,Ghana,Africa,Sub-Saharan Africa,Lower middle income,People,Total,2.4
guinea,Guinea,Africa,Sub-Saharan Africa,Low income,People,Total,3.6
guinea-bissau,Guinea-Bissau,Africa,Sub-Saharan Africa,Low income,People,Total,1.8
liberia,Liberia,Africa,Sub-Saharan Africa,Low income,People,Total,5.5
mali,Mali,Africa,Sub-Saharan Africa,Low income,People,Total,4.8
mauritania,Mauritania,Africa,Sub-Saharan Africa,Lower middle income,People,Total,4.6
niger,Niger,Africa,Sub-Saharan Africa,Low income,People,Total,1.9
nigeria,Nigeria,Africa,Sub-Saharan Africa,Lower middle income,People,Total,1
saint-helena,Saint Helena,Africa,Sub-Saharan Africa,,People,Total,3.3
senegal,Senegal,Africa,Sub-Saharan Africa,Lower middle income,People,Total,5.2
sierra-leone,Sierra Leone,Africa,Sub-Saharan Africa,Low income,People,Total,1.9
togo,Togo,Africa,Sub-Saharan Africa,Low income,People,Total,2.1
anguilla,Anguilla,Americas,Latin America and the Caribbean,,People,Total,2.7
antigua-and-barbuda,Antigua and Barbuda,Americas,Latin America and the Caribbean,High income,People,Total,4.9
aruba,Aruba,Americas,Latin America and the Caribbean,High income,People,Total,4.5
bahamas,Bahamas,Americas,Latin America and the Caribbean,High income,People,Total,4.5
barbados,Barbados,Americas,Latin America and the Caribbean,High income,People,Total,6
british-virgin-islands,British Virgin Islands,Americas,Latin America and the Caribbean,High income,People,Total,4.6
cayman-islands,Cayman Islands,Americas,Latin America and the Caribbean,High income,People,Total,1.5
cuba,Cuba,Americas,Latin America and the Caribbean,Upper middle income,People,Total,3
curaçao,Curaçao,Americas,Latin America and the Caribbean,High income,People,Total,3.5
dominica,Dominica,Americas,Latin America and the Caribbean,Upper middle income,People,Total,1.9
dominican-republic,Dominican Republic,Americas,Latin America and the Caribbean,Upper middle income,People,Total,4.7
grenada,Grenada,Americas,Latin America and the Caribbean,Upper middle income,People,Total,2.6
guadeloupe,Guadeloupe,Americas,Latin America and the Caribbean,,People,Total,2.1
haiti,Haiti,Americas,Latin America and the Caribbean,Low income,People,Total,2.2
jamaica,Jamaica,Americas,Latin America and the Caribbean,Upper middle income,People,Total,1.5
martinique,Martinique,Americas,Latin America and the Caribbean,,People,Total,5.7
montserrat,Montserrat,Americas,Latin America and the Caribbean,,People,Total,2.2
puerto-rico,Puerto Rico,Americas,Latin America and the Caribbean,High income,People,Total,3.6
saint-barthélemy,Saint Barthélemy,Americas,Latin America and the Caribbean,,People,Total,3.4
saint-kitts-and-nevis,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,High income,People,Total,2.8
saint-lucia,Saint Lucia,Americas,Latin America and the Caribbean,Upper middle income,People,Total,3.5
saint-martin-(french-part),Saint Martin (French Part),Americas,Latin America and the Caribbean,,People,Total,3.8
saint-vincent-and-the-grenadines,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Upper middle income,People,Total,1.7
sint-maarten-(dutch-part),Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,High income,People,Total,3.3
trinidad-and-tobago,Trinidad and Tobago,Americas,Latin America and the Caribbean,High income,People,Total,2
turks-and-caicos-islands,Turks and Caicos Islands,Americas,Latin America and the Caribbean,High income,People,Total,2.3
united-states-virgin-islands,United States Virgin Islands,Americas,Latin America and the Caribbean,High income,People,Total,1.7
belize,Belize,Americas,Latin America and the Caribbean,Upper middle income,People,Total,3.6
costa-rica,Costa Rica,Americas,Latin America and the Caribbean,Upper middle income,People,Total,3.3
el-salvador,El Salvador,Americas,Latin America and the Caribbean,Lower middle income,People,Total,4.9
guatemala,Guatemala,Americas,Latin America and the Caribbean,Upper middle income,People,Total,3.2
honduras,Honduras,Americas,Latin America and the Caribbean,Lower middle income,People,Total,1.9
mexico,Mexico,Americas,Latin America and the Caribbean,Upper middle income,People,Total,1.5
nicaragua,Nicaragua,Americas,Latin America and the Caribbean,Lower middle income,People,Total,5.4
panama,Panama,Americas,Latin America and the Caribbean,High income,People,Total,6
argentina,Argentina,Americas,Latin America and the Caribbean,Upper middle income,People,Total,2.6
bolivia-(plurinational-state-of),Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Lower middle income,People,Total,4.5
bouvet-island,Bouvet Island,Americas,Latin America and the Caribbean,,People,Total,3.4
brazil,Brazil,Americas,Latin America and the Caribbean,Upper middle income,People,Total,1.4
chile,Chile,Americas,Latin America and the Caribbean,High income,People,Total,4.5
colombia,Colombia,Americas,Latin America and the Caribbean,Upper middle income,People,Total,1.3
ecuador,Ecuador,Americas,Latin America and the Caribbean,Upper middle income,People,Total,5.8
falkland-islands-(malvinas),Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,,People,Total,1.9
french-guiana,French Guiana,Americas,Latin America and the Caribbean,,People,Total,4.7
guyana,Guyana,Americas,Latin America and the Caribbean,Upper middle income,People,Total,4.1
paraguay,Paraguay,Americas,Latin America and the Caribbean,Upper middle income,People,Total,3.7
peru,Peru,Americas,Latin America and the Caribbean,Upper middle income,People,Total,3.5
south-georgia-and-the-south-sandwich-islands,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean,,People,Total,2.9
suriname,Suriname,Americas,Latin America and the Caribbean,Upper middle income,People,Total,1.5
uruguay,Uruguay,Americas,Latin America and the Caribbean,High income,People,Total,1.2
venezuela-(bolivarian-republic-of),Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Upper middle income,People,Total,5.6
bermuda,Bermuda,Americas,Northern America,High income,People,Total,3.7
canada,Canada,Americas,Northern America,High income,People,Total,2.7
greenland,Greenland,Americas,Northern America,High income,People,Total,3
saint-pierre-and-miquelon,Saint Pierre and Miquelon,Americas,Northern America,,People,Total,1.3
united-states-of-america,United States of America,Americas,Northern America,High income,People,Total,1.2
kazakhstan,Kazakhstan,Asia,Central Asia,Upper middle income,People,Total,1.4
kyrgyzstan,Kyrgyzstan,Asia,Central Asia,Lower middle income,People,Total,1.9
tajikistan,Tajikistan,Asia,Central Asia,Low income,People,Total,2.8
turkmenistan,Turkmenistan,Asia,Central Asia,Upper middle income,People,Total,1.1
uzbekistan,Uzbekistan,Asia,Central Asia,Lower middle income,People,Total,3
china,China,Asia,Eastern Asia,Upper middle income,People,Total,3.9
china,China,Asia,Eastern Asia,Upper middle income,People,Total,3.1
china,China,Asia,Eastern Asia,Upper middle income,People,Total,2.2
democratic-people's-republic-of-korea,Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,People,Total,5.1
japan,Japan,Asia,Eastern Asia,High income,People,Total,1.2
mongolia,Mongolia,Asia,Eastern Asia,Lower middle income,People,Total,2.1
republic-of-korea,Republic of Korea,Asia,Eastern Asia,High income,People,Total,1.9
brunei-darussalam,Brunei Darussalam,Asia,South-eastern Asia,High income,People,Total,5.1
cambodia,Cambodia,Asia,South-eastern Asia,Lower middle income,People,Total,1
indonesia,Indonesia,Asia,South-eastern Asia,Upper middle income,People,Total,4.7
lao-people's-democratic-republic,Lao People's Democratic Republic,Asia,South-eastern Asia,Lower middle income,People,Total,3.5
malaysia,Malaysia,Asia,South-eastern Asia,Upper middle income,People,Total,3.3
myanmar,Myanmar,Asia,South-eastern Asia,Lower middle income,People,Total,3.6
philippines,Philippines,Asia,South-eastern Asia,Lower middle income,People,Total,5
singapore,Singapore,Asia,South-eastern Asia,High income,People,Total,5.1
thailand,Thailand,Asia,South-eastern Asia,Upper middle income,People,Total,3.4
timor-leste,Timor-Leste,Asia,South-eastern Asia,Lower middle income,People,Total,5.3
viet-nam,Viet Nam,Asia,South-eastern Asia,Lower middle income,People,Total,2.2
afghanistan,Afghanistan,Asia,Southern Asia,Low income,People,Total,2
bangladesh,Bangladesh,Asia,Southern Asia,Lower middle income,People,Total,2.8
bhutan,Bhutan,Asia,Southern Asia,Lower middle income,People,Total,3
india,India,Asia,Southern Asia,Lower middle income,People,Total,3.7
iran-(islamic-republic-of),Iran (Islamic Republic of),Asia,Southern Asia,Upper middle income,People,Total,4.1
maldives,Maldives,Asia,Southern Asia,Upper middle income,People,Total,1.8
nepal,Nepal,Asia,Southern Asia,Lower middle income,People,Total,3.4
pakistan,Pakistan,Asia,Southern Asia,Lower middle income,People,Total,4.4
sri-lanka,Sri Lanka,Asia,Southern Asia,Lower middle income,People,Total,5.6
armenia,Armenia,Asia,Western Asia,Upper middle income,People,Total,5.4
azerbaijan,Azerbaijan,Asia,Western Asia,Upper middle income,People,Total,4.3
bahrain,Bahrain,Asia,Western Asia,High income,People,Total,4.5
cyprus,Cyprus,Asia,Western Asia,High income,People,Total,4.8
georgia,Georgia,Asia,Western Asia,Upper middle income,People,Total,2.9
iraq,Iraq,Asia,Western Asia,Upper middle income,People,Total,4
israel,Israel,Asia,Western Asia,High income,People,Total,5.3
jordan,Jordan,Asia,Western Asia,Upper middle income,People,Total,2.3
kuwait,Kuwait,Asia,Western Asia,High income,People,Total,2.5
lebanon,Lebanon,Asia,Western Asia,Upper middle income,People,Total,1.5
oman,Oman,Asia,Western Asia,High income,People,Total,3
qatar,Qatar,Asia,Western Asia,High income,People,Total,2.6
saudi-arabia,Saudi Arabia,Asia,Western Asia,High income,People,Total,4.6
state-of-palestine,State of Palestine,Asia,Western Asia,Lower middle income,People,Total,5.7
syrian-arab-republic,Syrian Arab Republic,Asia,Western Asia,Low income,People,Total,5
turkey,Turkey,Asia,Western Asia,Upper middle income,People,Total,2.4
united-arab-emirates,United Arab Emirates,Asia,Western Asia,High income,People,Total,3.4
yemen,Yemen,Asia,Western Asia,Low income,People,Total,3.9
belarus,Belarus,Europe,Eastern Europe,Upper middle income,People,Total,4.9
bulgaria,Bulgaria,Europe,Eastern Europe,Upper middle income,People,Total,2.3
czechia,Czechia,Europe,Eastern Europe,High income,People,Total,3
hungary,Hungary,Europe,Eastern Europe,High income,People,Total,2.8
poland,Poland,Europe,Eastern Europe,High income,People,Total,3.1
republic-of-moldova,Republic of Moldova,Europe,Eastern Europe,Lower middle income,People,Total,3
romania,Romania,Europe,Eastern Europe,High income,People,Total,1
russian-federation,Russian Federation,Europe,Eastern Europe,Upper middle income,People,Total,5.2
slovakia,Slovakia,Europe,Eastern Europe,High income,People,Total,4.5
ukraine,Ukraine,Europe,Eastern Europe,Lower middle income,People,Total,1
åland-islands,Åland Islands,Europe,Northern Europe,,People,Total,3.5
guernsey,Guernsey,Europe,Northern Europe,,People,Total,1.4
jersey,Jersey,Europe,Northern Europe,,People,Total,3.2
sark,Sark,Europe,Northern Europe,,People,Total,2.2
denmark,Denmark,Europe,Northern Europe,High income,People,Total,4.7
estonia,Estonia,Europe,Northern Europe,High income,People,Total,5
faroe-islands,Faroe Islands,Europe,Northern Europe,High income,People,Total,2.7
finland,Finland,Europe,Northern Europe,High income,People,Total,5.1
iceland,Iceland,Europe,Northern Europe,High income,People,Total,5.2
ireland,Ireland,Europe,Northern Europe,High income,People,Total,1.8
isle-of-man,Isle of Man,Europe,Northern Europe,High income,People,Total,5.9
latvia,Latvia,Europe,Northern Europe,High income,People,Total,5.6
lithuania,Lithuania,Europe,Northern Europe,High income,People,Total,4.6
norway,Norway,Europe,Northern Europe,High income,People,Total,1.1
svalbard-and-jan-mayen-islands,Svalbard and Jan Mayen Islands,Europe,Northern Europe,,People,Total,6
sweden,Sweden,Europe,Northern Europe,High income,People,Total,1.7
united-kingdom-of-great-britain-and-northern-ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,High income,People,Total,4.9
albania,Albania,Europe,Southern Europe,Upper middle income,People,Total,5.5
andorra,Andorra,Europe,Southern Europe,High income,People,Total,1
bosnia-and-herzegovina,Bosnia and Herzegovina,Europe,Southern Europe,Upper middle income,People,Total,2.8
croatia,Croatia,Europe,Southern Europe,High income,People,Total,3.6
gibraltar,Gibraltar,Europe,Southern Europe,High income,People,Total,3.5
greece,Greece,Europe,Southern Europe,High income,People,Total,3.8
holy-see,Holy See,Europe,Southern Europe,,People,Total,2.3
italy,Italy,Europe,Southern Europe,High income,People,Total,1.9
malta,Malta,Europe,Southern Europe,High income,People,Total,4.3
montenegro,Montenegro,Europe,Southern Europe,Upper middle income,People,Total,1.5
north-macedonia,North Macedonia,Europe,Southern Europe,Upper middle income,People,Total,2.2
portugal,Portugal,Europe,Southern Europe,High income,People,Total,2
san-marino,San Marino,Europe,Southern Europe,High income,People,Total,4.8
serbia,Serbia,Europe,Southern Europe,Upper middle income,People,Total,5.2
slovenia,Slovenia,Europe,Southern Europe,High income,People,Total,4.6
spain,Spain,Europe,Southern Europe,High income,People,Total,3.5
austria,Austria,Europe,Western Europe,High income,People,Total,3.1
belgium,Belgium,Europe,Western Europe,High income,People,Total,3.4
france,France,Europe,Western Europe,High income,People,Total,5.2
germany,Germany,Europe,Western Europe,High income,People,Total,5.1
liechtenstein,Liechtenstein,Europe,Western Europe,High income,People,Total,3.6
luxembourg,Luxembourg,Europe,Western Europe,High income,People,Total,3.4
monaco,Monaco,Europe,Western Europe,High income,People,Total,5
netherlands,Netherlands,Europe,Western Europe,High income,People,Total,3.5
switzerland,Switzerland,Europe,Western Europe,High income,People,Total,4.2
australia,Australia,Oceania,Australia and New Zealand,High income,People,Total,3.1
christmas-island,Christmas Island,Oceania,Australia and New Zealand,,People,Total,2.5
cocos-(keeling)-islands,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,,People,Total,2.5
heard-island-and-mcdonald-islands,Heard Island and McDonald Islands,Oceania,Australia and New Zealand,,People,Total,1.8
new-zealand,New Zealand,Oceania,Australia and New Zealand,High income,People,Total,1.8
norfolk-island,Norfolk Island,Oceania,Australia and New Zealand,,People,Total,5
fiji,Fiji,Oceania,Melanesia,Upper middle income,People,Total,2.4
new-caledonia,New Caledonia,Oceania,Melanesia,High income,People,Total,3.7
papua-new-guinea,Papua New Guinea,Oceania,Melanesia,Lower middle income,People,Total,1.6
solomon-islands,Solomon Islands,Oceania,Melanesia,Lower middle income,People,Total,4.2
vanuatu,Vanuatu,Oceania,Melanesia,Lower middle income,People,Total,4
guam,Guam,Oceania,Micronesia,High income,People,Total,2.6
kiribati,Kiribati,Oceania,Micronesia,Lower middle income,People,Total,3.7
marshall-islands,Marshall Islands,Oceania,Micronesia,Upper middle income,People,Total,5
micronesia-(federated-states-of),Micronesia (Federated States of),Oceania,Micronesia,Lower middle income,People,Total,4.2
nauru,Nauru,Oceania,Micronesia,High income,People,Total,1.8
northern-mariana-islands,Northern Mariana Islands,Oceania,Micronesia,High income,People,Total,5.3
palau,Palau,Oceania,Micronesia,High income,People,Total,2
united-states-minor-outlying-islands,United States Minor Outlying Islands,Oceania,Micronesia,,People,Total,4.7
american-samoa,American Samoa,Oceania,Polynesia,Upper middle income,People,Total,5.1
cook-islands,Cook Islands,Oceania,Polynesia,,People,Total,4.2
french-polynesia,French Polynesia,Oceania,Polynesia,High income,People,Total,2.8
niue,Niue,Oceania,Polynesia,,People,Total,3.4
pitcairn,Pitcairn,Oceania,Polynesia,,People,Total,2.5
samoa,Samoa,Oceania,Polynesia,Upper middle income,People,Total,2.7
tokelau,Tokelau,Oceania,Polynesia,,People,Total,4.2
tonga,Tonga,Oceania,Polynesia,Upper middle income,People,Total,3.4
tuvalu,Tuvalu,Oceania,Polynesia,Upper middle income,People,Total,4.8
wallis-and-futuna-islands,Wallis and Futuna Islands,Oceania,Polynesia,,People,Total,2
algeria,Algeria,Africa,Northern Africa,Lower middle income,People,Digital literacy skills,4.6
egypt,Egypt,Africa,Northern Africa,Lower middle income,People,Digital literacy skills,5.9
libya,Libya,Africa,Northern Africa,Upper middle income,People,Digital literacy skills,2
morocco,Morocco,Africa,Northern Africa,Lower middle income,People,Digital literacy skills,5.5
sudan,Sudan,Africa,Northern Africa,Low income,People,Digital literacy skills,4.4
tunisia,Tunisia,Africa,Northern Africa,Lower middle income,People,Digital literacy skills,2.2
western-sahara,Western Sahara,Africa,Northern Africa,,People,Digital literacy skills,2.1
british-indian-ocean-territory,British Indian Ocean Territory,Africa,Sub-Saharan Africa,,People,Digital literacy skills,1.8
burundi,Burundi,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,6
comoros,Comoros,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,1.8
djibouti,Djibouti,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,3.6
eritrea,Eritrea,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,1.7
ethiopia,Ethiopia,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,5.9
french-southern-territories,French Southern Territories,Africa,Sub-Saharan Africa,,People,Digital literacy skills,2.9
kenya,Kenya,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,4.2
madagascar,Madagascar,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,5.8
malawi,Malawi,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,3.1
mauritius,Mauritius,Africa,Sub-Saharan Africa,High income,People,Digital literacy skills,4.2
mayotte,Mayotte,Africa,Sub-Saharan Africa,,People,Digital literacy skills,2.1
mozambique,Mozambique,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,4.4
réunion,Réunion,Africa,Sub-Saharan Africa,,People,Digital literacy skills,2.5
rwanda,Rwanda,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,3.5
seychelles,Seychelles,Africa,Sub-Saharan Africa,High income,People,Digital literacy skills,3.5
somalia,Somalia,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,1.4
south-sudan,South Sudan,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,5.1
uganda,Uganda,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,5.8
united-republic-of-tanzania,United Republic of Tanzania,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,3.8
zambia,Zambia,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,1.3
zimbabwe,Zimbabwe,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,4.3
angola,Angola,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,5.4
cameroon,Cameroon,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,2.9
central-african-republic,Central African Republic,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,5.4
chad,Chad,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,5.8
congo,Congo,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,2.5
democratic-republic-of-the-congo,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,3.6
equatorial-guinea,Equatorial Guinea,Africa,Sub-Saharan Africa,Upper middle income,People,Digital literacy skills,2.5
gabon,Gabon,Africa,Sub-Saharan Africa,Upper middle income,People,Digital literacy skills,4.6
sao-tome-and-principe,Sao Tome and Principe,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,5.2
botswana,Botswana,Africa,Sub-Saharan Africa,Upper middle income,People,Digital literacy skills,5.1
eswatini,Eswatini,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,2.6
lesotho,Lesotho,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,2.3
namibia,Namibia,Africa,Sub-Saharan Africa,Upper middle income,People,Digital literacy skills,2.1
south-africa,South Africa,Africa,Sub-Saharan Africa,Upper middle income,People,Digital literacy skills,2
benin,Benin,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,3.3
burkina-faso,Burkina Faso,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,5.2
cabo-verde,Cabo Verde,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,5.3
côte-d’ivoire,Côte d’Ivoire,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,5.4
gambia,Gambia,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,5.7
ghana,Ghana,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,1.7
guinea,Guinea,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,2.5
guinea-bissau,Guinea-Bissau,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,4.8
liberia,Liberia,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,4.2
mali,Mali,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,5.1
mauritania,Mauritania,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,4.7
niger,Niger,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,1.3
nigeria,Nigeria,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,3.3
saint-helena,Saint Helena,Africa,Sub-Saharan Africa,,People,Digital literacy skills,4.9
senegal,Senegal,Africa,Sub-Saharan Africa,Lower middle income,People,Digital literacy skills,4.6
sierra-leone,Sierra Leone,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,4.6
togo,Togo,Africa,Sub-Saharan Africa,Low income,People,Digital literacy skills,1.3
anguilla,Anguilla,Americas,Latin America and the Caribbean,,People,Digital literacy skills,6
antigua-and-barbuda,Antigua and Barbuda,Americas,Latin America and the Caribbean,High income,People,Digital literacy skills,2.6
aruba,Aruba,Americas,Latin America and the Caribbean,High income,People,Digital literacy skills,5.9
bahamas,Bahamas,Americas,Latin America and the Caribbean,High income,People,Digital literacy skills,4.5
barbados,Barbados,Americas,Latin America and the Caribbean,High income,People,Digital literacy skills,5.3
british-virgin-islands,British Virgin Islands,Americas,Latin America and the Caribbean,High income,People,Digital literacy skills,4.5
cayman-islands,Cayman Islands,Americas,Latin America and the Caribbean,High income,People,Digital literacy skills,3.2
cuba,Cuba,Americas,Latin America and the Caribbean,Upper middle income,People,Digital literacy skills,3
curaçao,Curaçao,Americas,Latin America and the Caribbean,High income,People,Digital literacy skills,5.3
dominica,Dominica,Americas,Latin America and the Caribbean,Upper middle income,People,Digital literacy skills,1.8
dominican-republic,Dominican Republic,Americas,Latin America and the Caribbean,Upper middle income,People,Digital literacy skills,3.3
grenada,Grenada,Americas,Latin America and the Caribbean,Upper middle income,People,Digital literacy skills,4
guadeloupe,Guadeloupe,Americas,Latin America and the Caribbean,,People,Digital literacy skills,1.2
haiti,Haiti,Americas,Latin America and the Caribbean,Low income,People,Digital literacy skills,4.7
jamaica,Jamaica,Americas,Latin America and the Caribbean,Upper middle income,People,Digital literacy skills,3.8
martinique,Martinique,Americas,Latin America and the Caribbean,,People,Digital literacy skills,2.4
montserrat,Montserrat,Americas,Latin America and the Caribbean,,People,Digital literacy skills,5.6
puerto-rico,Puerto Rico,Americas,Latin America and the Caribbean,High income,People,Digital literacy skills,3.3
saint-barthélemy,Saint Barthélemy,Americas,Latin America and the Caribbean,,People,Digital literacy skills,1.8
