Country or Area,Category,Demographic,% of population
Maldives,Age,60 or older,7.38727541987495e-02
Mexico,Age,60 or older,0.163046682364433
North Macedonia,Age,60 or older,0.257609543451319
Mali,Age,60 or older,8.38745964802498e-02
Malta,Age,60 or older,0.339524452141987
Myanmar,Age,60 or older,0.145177694113168
Montenegro,Age,60 or older,0.282470261414631
Mongolia,Age,60 or older,0.112459377120554
Mozambique,Age,60 or older,8.95832679204998e-02
Mauritania,Age,60 or older,9.41542718782428e-02
Martinique,Age,60 or older,0.363262590249571
Mauritius,Age,60 or older,0.233869639886598
Malawi,Age,60 or older,8.1943695545512e-02
Malaysia,Age,60 or older,0.152942267556786
Mayotte,Age,60 or older,0.112472130261469
Namibia,Age,60 or older,9.7859518314368e-02
New Caledonia,Age,60 or older,0.19319292590703
Niger (the),Age,60 or older,9.45373451233316e-02
Nigeria,Age,60 or older,9.04098886261314e-02
Nicaragua,Age,60 or older,0.133662054306321
Netherlands (the),Age,60 or older,0.329361969527056
Norway,Age,60 or older,0.293680006575153
Nepal,Age,60 or older,0.133727418150218
New Zealand,Age,60 or older,0.289209371622419
Oman,Age,60 or older,5.69029504691732e-02
Pakistan,Age,60 or older,0.113933562887701
Panama,Age,60 or older,0.178656091185114
Peru,Age,60 or older,0.176527168889254
Philippines (the),Age,60 or older,0.134105987356894
Papua New Guinea,Age,60 or older,0.102419485989978
Poland,Age,60 or older,0.31624027708907
Puerto Rico,Age,60 or older,0.345289747995568
"Democratic People's Republic of Korea (the)",Age,60 or older,0.198557265865749
Portugal,Age,60 or older,0.350095651003783
Paraguay,Age,60 or older,0.150982066536702
State of Palestine (the) *,Age,60 or older,8.90350052519894e-02
French Polynesia,Age,60 or older,0.18555517727737
Qatar,Age,60 or older,4.22040611517153e-02
RÃ©union,Age,60 or older,0.250864892716499
Romania,Age,60 or older,0.318828511985705
Russian Federation (the),Age,60 or older,0.284996199280148
Rwanda,Age,60 or older,9.46909356093129e-02
Saudi Arabia,Age,60 or older,8.19243592730212e-02
Sudan (the),Age,60 or older,0.106035068689647
Senegal,Age,60 or older,9.46452041768208e-02
Singapore,Age,60 or older,0.245759166274875
Solomon Islands,Age,60 or older,0.104742102595104
Sierra Leone,Age,60 or older,8.75373940753042e-02
El Salvador,Age,60 or older,0.177191122658735
Somalia,Age,60 or older,9.74104250499516e-02
Serbia,Age,60 or older,0.312191564988825
South Sudan,Age,60 or older,9.89463468903516e-02
Sao Tome and Principe,Age,60 or older,9.76012864608924e-02
Suriname,Age,60 or older,0.158796328732572
Slovakia,Age,60 or older,0.286006359928855
Slovenia,Age,60 or older,0.337529672861096
Sweden,Age,60 or older,0.327948326159888
Eswatini,Age,60 or older,0.102482404560416
Seychelles,Age,60 or older,0.179806596005236
Syrian Arab Republic (the),Age,60 or older,0.118083392186645
Chad,Age,60 or older,8.46418224281628e-02
Togo,Age,60 or older,8.90631282669883e-02
Thailand,Age,60 or older,0.240928752418243
Tajikistan,Age,60 or older,0.100081318359099
Turkmenistan,Age,60 or older,0.125948302619517
Timor-Leste,Age,60 or older,0.117217207332366
Tonga,Age,60 or older,0.148854777008377
Trinidad and Tobago,Age,60 or older,0.222585895491391
Tunisia,Age,60 or older,0.18732256360807
Turkey,Age,60 or older,0.183502685708239
United Republic of Tanzania (the),Age,60 or older,8.50818921072291e-02
Uganda,Age,60 or older,6.88948009189459e-02
Ukraine,Age,60 or older,0.290991537045869
Uruguay,Age,60 or older,0.268151256497067
United States of America (the),Age,60 or older,0.294039035104264
Uzbekistan,Age,60 or older,0.124242354138713
Saint Vincent and the Grenadines,Age,60 or older,0.200369117194709
Venezuela (Bolivarian Republic of),Age,60 or older,0.179949304742546
United States Virgin Islands,Age,60 or older,0.359868322609606
Viet Nam,Age,60 or older,0.169238456466163
Vanuatu,Age,60 or older,0.104549372328512
Samoa,Age,60 or older,0.141635664627487
Yemen,Age,60 or older,8.49576532957082e-02
South Africa,Age,60 or older,0.128992220013161
Zambia,Age,60 or older,7.01305246721509e-02
Zimbabwe,Age,60 or older,9.03667548674743e-02
Australia,Ethnicity,Aboriginal and torres strait islander,0.028
Indonesia,Ethnicity,Acehnese,0.014
South Sudan,Ethnicity,Acholi,
Uganda,Ethnicity,Acholi,0.044
Gabon,Ethnicity,Acquired gabonese nationality,0.016
Cameroon,Ethnicity,Adamawa-ubangi,0.098
Benin,Ethnicity,Adja and related,0.151
Togo,Ethnicity,Adja-ewe/mina,0.424
Djibouti,Ethnicity,Afar,0.35
Eritrea,Ethnicity,Afar,0.04
Ethiopia,Ethnicity,Afar,0.022
Bahrain,Ethnicity,African,0.016
Cabo Verde,Ethnicity,African,0.28
Kuwait,Ethnicity,African,0.01
Oman,Ethnicity,African,
United Republic of Tanzania (the),Ethnicity,African,
Venezuela (Bolivarian Republic of),Ethnicity,African,
Mozambique,Ethnicity,"African (makhuwa, tsonga, lomwe, sena, and others)",0.99
Zimbabwe,Ethnicity,African (predominantly shona; ndebele is the second largest ethnic group),0.994
Argentina,Ethnicity,African descent,0.004
Antigua and Barbuda,Ethnicity,African descent,0.873
Bahamas (the),Ethnicity,African descent,0.906
Bermuda,Ethnicity,African descent,0.52
Bolivia (Plurinational State of),Ethnicity,African descent,0.01
Barbados,Ethnicity,African descent,0.924
Cayman Islands,Ethnicity,African descent,0.2
Dominica,Ethnicity,African descent,0.845
Grenada,Ethnicity,African descent,0.824
Guatemala,Ethnicity,African descent,0.002
Guyana,Ethnicity,African descent,0.293
Honduras,Ethnicity,African descent,0.02
Saint Kitts and Nevis,Ethnicity,African descent,0.925
Peru,Ethnicity,African descent,0.036
Saint Helena,Ethnicity,African descent,0.5
Trinidad and Tobago,Ethnicity,African descent,0.342
Saint Vincent and the Grenadines,Ethnicity,African descent,0.712
Anguilla,Ethnicity,African/black,0.853
Montserrat,Ethnicity,African/black,0.862
British Virgin Islands,Ethnicity,African/black,0.763
Saudi Arabia,Ethnicity,Afro-asian,0.1
Saint Barthélemy,Ethnicity,Afro-caribbean,
Colombia,Ethnicity,"Afro-colombian (includes mulatto, raizal, and palenquero)",0.068
Ecuador,Ethnicity,Afroecuadorian,0.043
"Côte d'Ivoire",Ethnicity,Akan,0.289
Ghana,Ethnicity,Akan,0.457
"Lao People's Democratic Republic (the)",Ethnicity,Akha,0.018
Togo,Ethnicity,Akposso/akebu,0.041
Syrian Arab Republic (the),Ethnicity,Alawite ~15%,0.15
Greece,Ethnicity,Albanian,0.044
North Macedonia,Ethnicity,Albanian,0.243
Montenegro,Ethnicity,Albanian,0.049
Kosovo (UNSCR 1244),Ethnicity,Albanians,0.929
Monaco,Ethnicity,American,0.011
Argentina,Ethnicity,Amerindian,0.024
Colombia,Ethnicity,Amerindian,0.043
Ecuador,Ethnicity,Amerindian,0.07
Guyana,Ethnicity,Amerindian,0.105
Honduras,Ethnicity,Amerindian,0.07
Mexico,Ethnicity,Amerindian,0.07
Nicaragua,Ethnicity,Amerindian,0.05
Peru,Ethnicity,Amerindian,0.258
El Salvador,Ethnicity,"Amerindian (includes lenca, kakawira, nahua-pipil)",0.002
United States of America (the),Ethnicity,Amerindian and alaska native,0.011
Ethiopia,Ethnicity,Amhara,0.241
Togo,Ethnicity,Ana-ife,0.032
Maldives,Ethnicity,And african resulting from historical changes in regional hegemony over marine trade routes,
Seychelles,Ethnicity,And arab populations,
Greenland,Ethnicity,And other,0.025
India,Ethnicity,And other,0.03
Lesotho,Ethnicity,And other,0.003
Holy See (the) *,Ethnicity,And other nationalities from around the world,
Portugal,Ethnicity,And south america (brazilian) and other foreign born,0.05
Democratic Republic of the Congo (the),Ethnicity,And the mangbetu-azande (hamitic) - make up about of the population,0.45
Iran (Islamic Republic of),Ethnicity,And turkic tribes,
Andorra,Ethnicity,Andorran,0.483
Sao Tome and Principe,Ethnicity,Angolares (descendants of angolan slaves),
Sint Maarten (Dutch part),Ethnicity,Anguilla,0.011
Equatorial Guinea,Ethnicity,Annobon,0.016
Comoros (the),Ethnicity,Antalote,
South Sudan,Ethnicity,Anuak,
Iran (Islamic Republic of),Ethnicity,Arab,
Israel,Ethnicity,Arab,0.211
Lebanon,Ethnicity,Arab,0.95
Maldives,Ethnicity,Arab,
Niger (the),Ethnicity,Arab,0.004
Oman,Ethnicity,Arab,
Saudi Arabia,Ethnicity,Arab,0.9
Chad,Ethnicity,Arab,0.097
Tunisia,Ethnicity,Arab,0.98
Venezuela (Bolivarian Republic of),Ethnicity,Arab,
Iraq,Ethnicity,Arab 75-80%,0.8
Syrian Arab Republic (the),Ethnicity,Arab ~50%,0.5
Algeria,Ethnicity,Arab-berber,0.99
Morocco,Ethnicity,Arab-berber,0.99
Cameroon,Ethnicity,Arab-choa/hausa/kanuri,0.11
Central African Republic (the),Ethnicity,Arab-fulani (peul),0.06
Andorra,Ethnicity,Argentine,0.014
Holy See (the) *,Ethnicity,Argentinian,
Armenia,Ethnicity,Armenian,0.981
Azerbaijan,Ethnicity,Armenian,0.013
Georgia,Ethnicity,Armenian,0.045
Lebanon,Ethnicity,Armenian,0.04
Sint Maarten (Dutch part),Ethnicity,Aruba,0.034
Aruba,Ethnicity,Aruban,0.66
Curaçao,Ethnicity,Aruban,0.011
Eswatini,Ethnicity,As well as people of european ancestry,
Kosovo (UNSCR 1244),Ethnicity,Ashkali,0.009
Portugal,Ethnicity,Asia (han chinese),
Bahrain,Ethnicity,Asian,0.455
Belize,Ethnicity,Asian,0.01
Bermuda,Ethnicity,Asian,0.04
Brazil,Ethnicity,Asian,0.011
Micronesia (Federated States of),Ethnicity,Asian,0.014
Isle of Man,Ethnicity,Asian,0.031
Ireland,Ethnicity,Asian,0.021
Kuwait,Ethnicity,Asian,0.403
Palau,Ethnicity,Asian,0.217
United States of America (the),Ethnicity,Asian,0.06
United States Virgin Islands,Ethnicity,Asian,0.014
Northern Mariana Islands,Ethnicity,"Asian (includes filipino, chinese, korean, and other asian)",0.5
American Samoa,Ethnicity,"Asian (includes filipino, other)",0.036
United Kingdom of Great Britain and Northern Ireland (the),Ethnicity,Asian/asian british: indian,0.023
United Kingdom of Great Britain and Northern Ireland (the),Ethnicity,Asian/asian british: pakistani,0.019
Lesotho,Ethnicity,Asians,
Sao Tome and Principe,Ethnicity,Asians (mostly chinese),
Maldives,Ethnicity,Australasian,
Australia,Ethnicity,Australian,0.335
Norfolk Island,Ethnicity,Australian,0.228
Austria,Ethnicity,Austrian,0.808
Liechtenstein,Ethnicity,Austrian,0.06
Timor-Leste,Ethnicity,"Austronesian (malayo-polynesian) (includes tetun, mambai, tokodede, galoli, kemak, baikeno)",
Chile,Ethnicity,Aymara,0.007
South Sudan,Ethnicity,Azande,
Azerbaijan,Ethnicity,Azerbaijani,0.916
Georgia,Ethnicity,Azeri,0.063
Iran (Islamic Republic of),Ethnicity,Azeri,
Uganda,Ethnicity,Baganda,0.165
Uganda,Ethnicity,Bagisu,0.049
Chad,Ethnicity,Baguirmi/barma,0.012
Bahrain,Ethnicity,Bahraini,0.46
South Sudan,Ethnicity,Baka,
Uganda,Ethnicity,Bakiga,0.071
Angola,Ethnicity,Bakongo,0.13
Guinea-Bissau,Ethnicity,Balanta,0.3
Indonesia,Ethnicity,Balinese,0.017
Iran (Islamic Republic of),Ethnicity,Baloch,
Pakistan,Ethnicity,Balochi,0.036
Oman,Ethnicity,Baluchi,
Mali,Ethnicity,Bambara,0.333
Cameroon,Ethnicity,Bamileke-bamu,0.243
Central African Republic (the),Ethnicity,Banda,0.229
Indonesia,Ethnicity,Banjarese,0.017
Indonesia,Ethnicity,Bantenese,0.02
Somalia,Ethnicity,"Bantu and other non-somali (including 30,000 arabs)",0.15
Uganda,Ethnicity,Banyankole,0.096
South Sudan,Ethnicity,Bari,
Benin,Ethnicity,Bariba and related,0.096
Botswana,Ethnicity,Basarwa,0.03
Russian Federation (the),Ethnicity,Bashkir,0.011
Uganda,Ethnicity,Basoga,0.088
France,Ethnicity,Basque minorities,
Saint Pierre and Miquelon,Ethnicity,Basques and bretons (french fishermen),
Liberia,Ethnicity,Bassa,0.134
Namibia,Ethnicity,Baster,0.02
Indonesia,Ethnicity,Batak,0.036
Central African Republic (the),Ethnicity,Baya,0.288
Mongolia,Ethnicity,Bayad,0.02
Sudan (the),Ethnicity,Beja,
Belarus,Ethnicity,Belarusian,0.837
Estonia,Ethnicity,Belarusian,0.01
Lithuania,Ethnicity,Belarusian,0.01
Latvia,Ethnicity,Belarusian,0.031
Ukraine,Ethnicity,Belarusian,0.006
Belgium,Ethnicity,Belgian,0.752
Luxembourg,Ethnicity,Belgian,0.03
Monaco,Ethnicity,Belgian,0.023
Zambia,Ethnicity,Bemba,0.21
Bangladesh,Ethnicity,Bengali at least,0.98
Gabon,Ethnicity,Beninese,0.021
Libya,Ethnicity,Berber and arab,0.97
Sudan (the),Ethnicity,Berti; there are over 500 ethnic groups,
Indonesia,Ethnicity,Betawi,0.029
Cameroon,Ethnicity,Beti/bassa,
Chad,Ethnicity,Bidiyo/migaama/kenga/dangleat,0.025
Philippines (the),Ethnicity,Bikol/bicol,0.068
Eritrea,Ethnicity,Bilen,0.03
Zambia,Ethnicity,Bisa,0.016
Philippines (the),Ethnicity,Bisaya/binisaya,0.114
Burkina Faso,Ethnicity,Bissa,0.037
Cameroon,Ethnicity,Biu-mandara,0.146
Brazil,Ethnicity,Black,0.076
Cuba,Ethnicity,Black,0.093
Dominican Republic (the),Ethnicity,Black,0.158
Ecuador,Ethnicity,Black,0.01
Haiti,Ethnicity,Black,0.95
Isle of Man,Ethnicity,Black,0.006
Ireland,Ethnicity,Black,0.014
Jamaica,Ethnicity,Black,0.921
Saint Martin (French Part),Ethnicity,Black,
Nicaragua,Ethnicity,Black,0.09
El Salvador,Ethnicity,Black,0.001
Turks and Caicos Islands,Ethnicity,Black,0.876
Uruguay,Ethnicity,Black,0.046
United States Virgin Islands,Ethnicity,Black,0.76
South Africa,Ethnicity,Black african,0.809
Mauritania,Ethnicity,Black moors (haratines - arabic-speaking descendants of african origin who are or were enslaved by white moors),0.4
United States of America (the),Ethnicity,Black or african american,0.124
Costa Rica,Ethnicity,Black or african descent,0.011
Panama,Ethnicity,Black or african descent,0.092
Puerto Rico,Ethnicity,Black/african american,0.124
Saint Lucia,Ethnicity,Black/african descent,0.853
United Kingdom of Great Britain and Northern Ireland (the),Ethnicity,Black/african/caribbean/black british,0.03
Burkina Faso,Ethnicity,Bobo,0.049
Mali,Ethnicity,Bobo,0.021
Curaçao,Ethnicity,Bonairean,
South Sudan,Ethnicity,Bongo,
Bosnia and Herzegovina,Ethnicity,Bosniak,0.501
Montenegro,Ethnicity,Bosniak,0.087
Serbia,Ethnicity,Bosniak,0.02
Slovenia,Ethnicity,Bosniak,0.011
Kosovo (UNSCR 1244),Ethnicity,Bosniaks,0.016
Austria,Ethnicity,Bosnian and herzegovinian,0.019
Nepal,Ethnicity,Brahman-hill,0.122
Falkland Islands (Malvinas),Ethnicity,British,0.231
Jersey,Ethnicity,British,0.305
Monaco,Ethnicity,British,0.05
Equatorial Guinea,Ethnicity,Bubi,0.065
Indonesia,Ethnicity,Buginese,0.027
Equatorial Guinea,Ethnicity,Bujeba,0.011
Chad,Ethnicity,Bulala/medogo/kuka,0.037
Bulgaria,Ethnicity,Bulgarian,0.769
Republic of Moldova (the),Ethnicity,Bulgarian,0.019
Ukraine,Ethnicity,Bulgarian,0.004
Malaysia,Ethnicity,"Bumiputera (malays and indigenous peoples, including orang asli, dayak, anak negeri)",0.625
Mongolia,Ethnicity,Buriad,0.014
Myanmar,Ethnicity,Burman (bamar),0.68
Thailand,Ethnicity,Burmese,0.013
South Sudan,Ethnicity,Bviri,
Comoros (the),Ethnicity,Cafre,
Gabon,Ethnicity,Cameroonian,0.046
Canada,Ethnicity,Canadian,0.323
Namibia,Ethnicity,Caprivian,0.04
Saint Barthélemy,Ethnicity,Caribbean,
Palau,Ethnicity,Carolinian,0.02
Palau,Ethnicity,Caucasian,0.012
Montserrat,Ethnicity,Caucasian/white,0.027
Philippines (the),Ethnicity,Cebuano,0.099
France,Ethnicity,Celtic and latin with teutonic,
Chad,Ethnicity,Chadians of foreign ethnicities,0.009
Cambodia,Ethnicity,Cham,0.024
Nepal,Ethnicity,Chamar/harijan/ram,0.013
Guam,Ethnicity,Chamorro,0.373
Russian Federation (the),Ethnicity,Chechen,0.01
Malawi,Ethnicity,Chewa,0.343
Zambia,Ethnicity,Chewa,0.074
Nepal,Ethnicity,Chhettri,0.166
Falkland Islands (Malvinas),Ethnicity,Chilean,0.046
Aruba,Ethnicity,Chinese,0.011
Australia,Ethnicity,Chinese,0.056
Brunei Darussalam,Ethnicity,Chinese,0.102
Canada,Ethnicity,Chinese,0.051
Christmas Island,Ethnicity,Chinese,0.7
Guam,Ethnicity,Chinese,0.016
"China, Hong Kong Special Administrative Region",Ethnicity,Chinese,0.92
Indonesia,Ethnicity,Chinese,0.012
Japan,Ethnicity,Chinese,0.006
Cambodia,Ethnicity,Chinese,0.015
"China, Macao Special Administrative Region",Ethnicity,Chinese,0.887
Myanmar,Ethnicity,Chinese,0.03
Malaysia,Ethnicity,Chinese,0.206
New Zealand,Ethnicity,Chinese,0.049
French Polynesia,Ethnicity,Chinese,0.12
Singapore,Ethnicity,Chinese,0.742
Saint Helena,Ethnicity,Chinese,0.25
Seychelles,Ethnicity,Chinese,
Bolivia (Plurinational State of),Ethnicity,Cholo/chola,0.02
Guam,Ethnicity,Chuukese,0.07
Micronesia (Federated States of),Ethnicity,Chuukese/mortlockese,0.493
Russian Federation (the),Ethnicity,Chuvash,0.01
Cocos (Keeling) Islands,Ethnicity,Cocos malays,
Aruba,Ethnicity,Colombian,0.091
Curaçao,Ethnicity,Colombian,0.03
South Africa,Ethnicity,Colored,0.088
Madagascar,Ethnicity,Comoran,
Gabon,Ethnicity,Congolese (brazzaville),0.01
Cook Islands (the) **,Ethnicity,Cook island maori (polynesian),0.813
New Zealand,Ethnicity,Cook islands maori,0.017
Cameroon,Ethnicity,Cotier/ngoe/oroko,0.027
Madagascar,Ethnicity,"Cotiers (mixed african, malayo-indonesian, and arab ancestry - betsimisaraka, tsimihety, antaisaka, sakalava)",
Belize,Ethnicity,Creole,0.259
Madagascar,Ethnicity,Creole,
Mauritius,Ethnicity,Creole,
Sierra Leone,Ethnicity,Creole (descendants of freed jamaican slaves who were settled in the freetown area in the late-18th century; also known as krio),0.012
Suriname,Ethnicity,Creole (mixed white and black),0.157
Cabo Verde,Ethnicity,Creole (mulatto),0.71
Saint Martin (French Part),Ethnicity,Creole (mulatto),
Ukraine,Ethnicity,Crimean tatar,0.005
Bosnia and Herzegovina,Ethnicity,Croat,0.154
Croatia,Ethnicity,Croat,0.904
Montenegro,Ethnicity,Croat,0.01
Slovenia,Ethnicity,Croat,0.018
Sint Maarten (Dutch part),Ethnicity,Curacao,0.041
Aruba,Ethnicity,Curacaoan,0.022
Curaçao,Ethnicity,Curacaoan,0.754
Czechia,Ethnicity,Czech,0.573
Chad,Ethnicity,Dadjo/kibet/muro,0.024
Burkina Faso,Ethnicity,Dagara,0.024
Sudan (the),Ethnicity,Dajo,
Nepal,Ethnicity,Damai/dholii,0.018
Namibia,Ethnicity,Damara,0.07
Faroe Islands,Ethnicity,Danish,0.083
Greenland,Ethnicity,Danish,0.075
Iceland,Ethnicity,Danish,0.01
Denmark,Ethnicity,Danish (includes greenlandic (who are predominantly inuit) and faroese),0.856
Mongolia,Ethnicity,Dariganga,0.011
Indonesia,Ethnicity,Dayak,0.014
Benin,Ethnicity,Dendi and related,0.029
Pitcairn,Ethnicity,Descendants of the bounty mutineers and their tahitian wives,
South Sudan,Ethnicity,Didinga,
South Sudan,Ethnicity,Dinka (jieng) approximately 35-40%,0.4
Burkina Faso,Ethnicity,Dioula,0.008
Mali,Ethnicity,Dogon,0.087
Sint Maarten (Dutch part),Ethnicity,Dominica,0.044
Aruba,Ethnicity,Dominican,0.041
Curaçao,Ethnicity,Dominican,0.036
Sint Maarten (Dutch part),Ethnicity,Dominican republic,0.102
India,Ethnicity,Dravidian,0.25
Maldives,Ethnicity,Dravidian,
Congo (the),Ethnicity,Duma,0.015
Kyrgyzstan,Ethnicity,Dungan,0.011
South Sudan,Ethnicity,Dungotona,
Mongolia,Ethnicity,Durvud,0.026
Aruba,Ethnicity,Dutch,0.043
Australia,Ethnicity,Dutch,0.016
Belgium,Ethnicity,Dutch,0.02
Curaçao,Ethnicity,Dutch,0.06
Monaco,Ethnicity,Dutch,0.011
Netherlands (the),Ethnicity,Dutch,0.754
Belize,Ethnicity,East indian,0.039
Barbados,Ethnicity,East indian,0.013
Canada,Ethnicity,East indian,0.04
Grenada,Ethnicity,East indian,0.022
Guyana,Ethnicity,East indian,0.398
Jamaica,Ethnicity,East indian,0.008
Saint Kitts and Nevis,Ethnicity,East indian,0.015
Saint Lucia,Ethnicity,East indian,0.022
Saint Martin (French Part),Ethnicity,East indian,
Turks and Caicos Islands,Ethnicity,East indian,0.013
Trinidad and Tobago,Ethnicity,East indian,0.354
British Virgin Islands,Ethnicity,East indian,0.016
Anguilla,Ethnicity,East indian/indian,0.01
Montserrat,Ethnicity,East indian/indian,0.016
Saint Vincent and the Grenadines,Ethnicity,East indian/indian,0.011
United Arab Emirates (the),Ethnicity,Egyptian,0.102
Egypt,Ethnicity,Egyptian,0.997
Jordan,Ethnicity,Egyptian,0.067
Kosovo (UNSCR 1244),Ethnicity,Egyptian,0.007
United Arab Emirates (the),Ethnicity,Emirati,0.116
Australia,Ethnicity,English,0.361
Canada,Ethnicity,English,0.183
Norfolk Island,Ethnicity,English,0.224
New Zealand,Ethnicity,English,0.015
Estonia,Ethnicity,Estonian,0.687
Finland,Ethnicity,Estonian,
China,Ethnicity,"Ethnic minorities (includes zhang, hui, manchu, uighur, miao, yi, tujia, tibetan, mongol, dong, buyei, yao, bai, korean, hani, li, kazakh, dai, and other nationalities)",0.089
Bhutan,Ethnicity,Ethnic nepali (predominantly lhotshampas),0.35
Netherlands (the),Ethnicity,Eu (excluding dutch),0.064
Angola,Ethnicity,European,0.01
Bahrain,Ethnicity,European,0.01
Cabo Verde,Ethnicity,European,0.01
Christmas Island,Ethnicity,European,0.2
New Caledonia,Ethnicity,European,0.271
New Zealand,Ethnicity,European,0.641
Tunisia,Ethnicity,European,0.01
Saint Vincent and the Grenadines,Ethnicity,European,0.015
Yemen,Ethnicity,European,
Argentina,Ethnicity,European (mostly spanish and italian descent) and mestizo (mixed european and amerindian ancestry),0.972
Algeria,Ethnicity,European less than,0.01
Namibia,Ethnicity,European?6%,0.06
Cocos (Keeling) Islands,Ethnicity,Europeans,
Lesotho,Ethnicity,Europeans,
Sao Tome and Principe,Ethnicity,Europeans (primarily portuguese),
Ghana,Ethnicity,Ewe,0.128
Cayman Islands,Ethnicity,Expatriates of various ethnic groups,0.2
Falkland Islands (Malvinas),Ethnicity,Falkland islander,0.483
Sudan (the),Ethnicity,Fallata,
Equatorial Guinea,Ethnicity,Fang,0.857
Faroe Islands,Ethnicity,Faroese (scandinavian and anglo-saxon descent),0.853
Aruba,Gender,Female,0.525672950744629
Afghanistan,Gender,Female,0.486845207214355
Angola,Gender,Female,0.505241355895996
Albania,Gender,Female,0.491029968261719
United Arab Emirates (the),Gender,Female,0.30878942489624
Argentina,Gender,Female,0.512141456604004
Armenia,Gender,Female,0.529653396606445
Antigua and Barbuda,Gender,Female,0.517308616638184
Australia,Gender,Female,0.502012367248535
Austria,Gender,Female,0.507051544189453
Azerbaijan,Gender,Female,0.500485572814941
Burundi,Gender,Female,0.503828735351562
Belgium,Gender,Female,0.504355010986328
Benin,Gender,Female,0.500606346130371
Burkina Faso,Gender,Female,0.500331344604492
Bangladesh,Gender,Female,0.494447631835937
Bulgaria,Gender,Female,0.514406318664551
Bahrain,Gender,Female,0.353264579772949
Bahamas (the),Gender,Female,0.514064903259277
Bosnia and Herzegovina,Gender,Female,0.510301856994629
Belarus,Gender,Female,0.534425048828125
Belize,Gender,Female,0.502639465332031
Bolivia (Plurinational State of),Gender,Female,0.498157768249512
Brazil,Gender,Female,0.508674850463867
Barbados,Gender,Female,0.516012420654297
Brunei Darussalam,Gender,Female,0.481152420043945
Bhutan,Gender,Female,0.468532104492188
Botswana,Gender,Female,0.515611953735352
Central African Republic (the),Gender,Female,0.504314918518066
Canada,Gender,Female,0.503680229187012
Switzerland,Gender,Female,0.503889350891113
Chile,Gender,Female,0.506927909851074
China,Gender,Female,0.487087364196777
"CÃ´te d'Ivoire",Gender,Female,0.495782814025879
Cameroon,Gender,Female,0.499843940734863
Democratic Republic of the Congo (the),Gender,Female,0.500787506103516
Congo (the),Gender,Female,0.50042911529541
Colombia,Gender,Female,0.508978996276855
Comoros (the),Gender,Female,0.495566329956055
Cabo Verde,Gender,Female,0.497980155944824
Costa Rica,Gender,Female,0.500388870239258
Cuba,Gender,Female,0.503517379760742
CuraÃ§ao,Gender,Female,0.540103607177734
Cyprus,Gender,Female,0.500137901306152
Czechia,Gender,Female,0.507654228210449
Germany,Gender,Female,0.505682029724121
Djibouti,Gender,Female,0.474704513549805
Denmark,Gender,Female,0.502890167236328
Dominican Republic (the),Gender,Female,0.500529670715332
Algeria,Gender,Female,0.494794044494629
Ecuador,Gender,Female,0.499869804382324
Egypt,Gender,Female,0.494765586853027
Eritrea,Gender,Female,0.500130844116211
Spain,Gender,Female,0.508535041809082
Estonia,Gender,Female,0.526243858337402
Ethiopia,Gender,Female,0.499695167541504
Finland,Gender,Female,0.506849822998047
Fiji,Gender,Female,0.493534469604492
France,Gender,Female,0.516048774719238
Micronesia (Federated States of),Gender,Female,0.49157112121582
Gabon,Gender,Female,0.491018676757813
United Kingdom of Great Britain and Northern Ireland (the),Gender,Female,0.50590087890625
Georgia,Gender,Female,0.523403472900391
Ghana,Gender,Female,0.493128204345703
Guinea,Gender,Female,0.516231269836426
Gambia (the),Gender,Female,0.504051856994629
Guinea-Bissau,Gender,Female,0.5108251953125
Equatorial Guinea,Gender,Female,0.443771667480469
Greece,Gender,Female,0.509181747436523
Grenada,Gender,Female,0.49638729095459
Guatemala,Gender,Female,0.507293891906738
Guam,Gender,Female,0.495565299987793
Guyana,Gender,Female,0.497114639282227
"China, Hong Kong Special Administrative Region",Gender,Female,0.541193618774414
Honduras,Gender,Female,0.500345687866211
Croatia,Gender,Female,0.517865333557129
Haiti,Gender,Female,0.506561813354492
Hungary,Gender,Female,0.524003982543945
Indonesia,Gender,Female,0.496504669189453
India,Gender,Female,0.480363273620605
Ireland,Gender,Female,0.503554000854492
Iran (Islamic Republic of),Gender,Female,0.495095672607422
Iraq,Gender,Female,0.49387092590332
Iceland,Gender,Female,0.49771427154541
Israel,Gender,Female,0.502270622253418
Italy,Gender,Female,0.51311882019043
Jamaica,Gender,Female,0.503694343566895
Jordan,Gender,Female,0.493687324523926
Japan,Gender,Female,0.511742782592773
Kazakhstan,Gender,Female,0.514667892456055
Kenya,Gender,Female,0.503108024597168
Kyrgyzstan,Gender,Female,0.505337905883789
Cambodia,Gender,Female,0.511786689758301
Kiribati,Gender,Female,0.508196182250977
Republic of Korea (the),Gender,Female,0.49939022064209
Kuwait,Gender,Female,0.387798271179199
"Lao People's Democratic Republic (the)",Gender,Female,0.498073539733887
Lebanon,Gender,Female,0.496626586914062
Liberia,Gender,Female,0.497291145324707
Libya,Gender,Female,0.495183792114258
Saint Lucia,Gender,Female,0.507583236694336
Sri Lanka,Gender,Female,0.520514106750488
Lesotho,Gender,Female,0.506617317199707
Lithuania,Gender,Female,0.537159309387207
Luxembourg,Gender,Female,0.494250564575195
Latvia,Gender,Female,0.539107704162598
"China, Macao Special Administrative Region",Gender,Female,0.519359588623047
Morocco,Gender,Female,0.503749389648438
Republic of Moldova (the),Gender,Female,0.521078147888184
