Indicator,Country,Industry,Information and communication technologies,Sex,Measure,Time,Value,Flags
ICT specialists within and outside information industries,Italy,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,93.17726,
ICT specialists within and outside information industries,Italy,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,93.19889,
ICT specialists within and outside information industries,Italy,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,93.03067,
ICT specialists within and outside information industries,Italy,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,92.81874,
ICT specialists within and outside information industries,Italy,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,92.74511,
ICT specialists within and outside information industries,Italy,Total economy,ICT-intensive,Total,Share of jobs,2011,6.250225,
ICT specialists within and outside information industries,Italy,Total economy,ICT-intensive,Total,Share of jobs,2012,6.550238,
ICT specialists within and outside information industries,Italy,Total economy,ICT-intensive,Total,Share of jobs,2013,6.823199,
ICT specialists within and outside information industries,Italy,Total economy,ICT-intensive,Total,Share of jobs,2014,6.801111,
ICT specialists within and outside information industries,Italy,Total economy,ICT-intensive,Total,Share of jobs,2015,6.968874,
ICT specialists within and outside information industries,Italy,Total economy,ICT-intensive,Total,Share of jobs,2016,7.181261,
ICT specialists within and outside information industries,Italy,Total economy,ICT-intensive,Total,Share of jobs,2017,7.254931,
ICT specialists within and outside information industries,Italy,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Italy,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Italy,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Italy,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Italy,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Italy,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Italy,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Japan,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.253295,
ICT specialists within and outside information industries,Japan,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,3.186624,
ICT specialists within and outside information industries,Japan,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,3.304213,
ICT specialists within and outside information industries,Japan,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,3.34089,
ICT specialists within and outside information industries,Japan,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,4.519692,
ICT specialists within and outside information industries,Japan,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,4.45926,
ICT specialists within and outside information industries,Japan,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,4.451573,
ICT specialists within and outside information industries,Japan,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,4.45311,
ICT specialists within and outside information industries,Japan,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,92.22717,
ICT specialists within and outside information industries,Japan,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,92.35412,
ICT specialists within and outside information industries,Japan,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,92.24406,
ICT specialists within and outside information industries,Japan,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,92.20585,
ICT specialists within and outside information industries,Japan,Total economy,ICT-intensive,Total,Share of jobs,2012,7.772987,
ICT specialists within and outside information industries,Japan,Total economy,ICT-intensive,Total,Share of jobs,2013,7.645883,
ICT specialists within and outside information industries,Japan,Total economy,ICT-intensive,Total,Share of jobs,2014,7.755786,
ICT specialists within and outside information industries,Japan,Total economy,ICT-intensive,Total,Share of jobs,2015,7.794,
ICT specialists within and outside information industries,Japan,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Japan,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Japan,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Japan,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Latvia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,2.082837,
ICT specialists within and outside information industries,Latvia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,1.726974,
ICT specialists within and outside information industries,Latvia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,2.009934,
ICT specialists within and outside information industries,Latvia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,2.051521,
ICT specialists within and outside information industries,Latvia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,2.201983,
ICT specialists within and outside information industries,Latvia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,2.185181,
ICT specialists within and outside information industries,Latvia,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,2.26973,
ICT specialists within and outside information industries,Latvia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,8.664604,
ICT specialists within and outside information industries,Latvia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,8.952068,
ICT specialists within and outside information industries,Latvia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,9.483655,
ICT specialists within and outside information industries,Latvia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,9.884602,
ICT specialists within and outside information industries,Latvia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,9.384367,
ICT specialists within and outside information industries,Latvia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,9.310526,
ICT specialists within and outside information industries,Latvia,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,10.21323,
ICT specialists within and outside information industries,Latvia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,89.25256,
ICT specialists within and outside information industries,Latvia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,89.30921,
ICT specialists within and outside information industries,Latvia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,88.50641,
ICT specialists within and outside information industries,Latvia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,88.07553,
ICT specialists within and outside information industries,Latvia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,88.42518,
ICT specialists within and outside information industries,Latvia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,88.50429,
ICT specialists within and outside information industries,Latvia,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,87.51816,
ICT specialists within and outside information industries,Latvia,Total economy,ICT-intensive,Total,Share of jobs,2011,10.74744,
ICT specialists within and outside information industries,Latvia,Total economy,ICT-intensive,Total,Share of jobs,2012,10.67904,
ICT specialists within and outside information industries,Latvia,Total economy,ICT-intensive,Total,Share of jobs,2013,11.49359,
ICT specialists within and outside information industries,Latvia,Total economy,ICT-intensive,Total,Share of jobs,2014,11.93612,
ICT specialists within and outside information industries,Latvia,Total economy,ICT-intensive,Total,Share of jobs,2015,11.58635,
ICT specialists within and outside information industries,Latvia,Total economy,ICT-intensive,Total,Share of jobs,2016,11.49571,
ICT specialists within and outside information industries,Latvia,Total economy,ICT-intensive,Total,Share of jobs,2017,12.48296,
ICT specialists within and outside information industries,Latvia,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Latvia,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Latvia,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Latvia,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Latvia,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Latvia,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Latvia,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Lithuania,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,1.90142,
ICT specialists within and outside information industries,Lithuania,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,1.993249,
ICT specialists within and outside information industries,Lithuania,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,1.890524,
ICT specialists within and outside information industries,Lithuania,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,1.809428,
ICT specialists within and outside information industries,Lithuania,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,1.999231,
ICT specialists within and outside information industries,Lithuania,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,2.445349,
ICT specialists within and outside information industries,Lithuania,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,2.650576,
ICT specialists within and outside information industries,Lithuania,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,11.92264,
ICT specialists within and outside information industries,Lithuania,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,12.29706,
ICT specialists within and outside information industries,Lithuania,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,12.7907,
ICT specialists within and outside information industries,Lithuania,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,12.44079,
ICT specialists within and outside information industries,Lithuania,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,12.43368,
ICT specialists within and outside information industries,Lithuania,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,13.22354,
ICT specialists within and outside information industries,Lithuania,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,13.62637,
ICT specialists within and outside information industries,Lithuania,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,86.17594,
ICT specialists within and outside information industries,Lithuania,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,85.70969,
ICT specialists within and outside information industries,Lithuania,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,85.31878,
ICT specialists within and outside information industries,Lithuania,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,85.74979,
ICT specialists within and outside information industries,Lithuania,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,85.56709,
ICT specialists within and outside information industries,Lithuania,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,84.33111,
ICT specialists within and outside information industries,Lithuania,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,83.72232,
ICT specialists within and outside information industries,Lithuania,Total economy,ICT-intensive,Total,Share of jobs,2011,13.82406,
ICT specialists within and outside information industries,Lithuania,Total economy,ICT-intensive,Total,Share of jobs,2012,14.29031,
ICT specialists within and outside information industries,Lithuania,Total economy,ICT-intensive,Total,Share of jobs,2013,14.68122,
ICT specialists within and outside information industries,Lithuania,Total economy,ICT-intensive,Total,Share of jobs,2014,14.25021,
ICT specialists within and outside information industries,Lithuania,Total economy,ICT-intensive,Total,Share of jobs,2015,14.43291,
ICT specialists within and outside information industries,Lithuania,Total economy,ICT-intensive,Total,Share of jobs,2016,15.66889,
ICT specialists within and outside information industries,Lithuania,Total economy,ICT-intensive,Total,Share of jobs,2017,16.27694,
ICT specialists within and outside information industries,Lithuania,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Lithuania,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Lithuania,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Lithuania,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Lithuania,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Lithuania,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Lithuania,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Luxembourg,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.560831,
ICT specialists within and outside information industries,Luxembourg,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,4.477612,
ICT specialists within and outside information industries,Luxembourg,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,4.281061,
ICT specialists within and outside information industries,Luxembourg,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,4.809437,
ICT specialists within and outside information industries,Luxembourg,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,4.062072,
ICT specialists within and outside information industries,Luxembourg,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,4.839267,
ICT specialists within and outside information industries,Luxembourg,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,4.947361,
ICT specialists within and outside information industries,Luxembourg,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,12.26508,
ICT specialists within and outside information industries,Luxembourg,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,12.54664,
ICT specialists within and outside information industries,Luxembourg,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,13.86691,
ICT specialists within and outside information industries,Luxembourg,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,16.06171,
ICT specialists within and outside information industries,Luxembourg,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,14.6052,
ICT specialists within and outside information industries,Luxembourg,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,15.84284,
ICT specialists within and outside information industries,Luxembourg,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,16.73783,
ICT specialists within and outside information industries,Luxembourg,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,84.17408,
ICT specialists within and outside information industries,Luxembourg,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,82.9291,
ICT specialists within and outside information industries,Luxembourg,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,81.85202,
ICT specialists within and outside information industries,Luxembourg,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,79.12886,
ICT specialists within and outside information industries,Luxembourg,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,81.33273,
ICT specialists within and outside information industries,Luxembourg,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,79.31789,
ICT specialists within and outside information industries,Luxembourg,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,78.31112,
ICT specialists within and outside information industries,Luxembourg,Total economy,ICT-intensive,Total,Share of jobs,2011,15.82592,
ICT specialists within and outside information industries,Luxembourg,Total economy,ICT-intensive,Total,Share of jobs,2012,17.02425,
ICT specialists within and outside information industries,Luxembourg,Total economy,ICT-intensive,Total,Share of jobs,2013,18.14798,
ICT specialists within and outside information industries,Luxembourg,Total economy,ICT-intensive,Total,Share of jobs,2014,20.87114,
ICT specialists within and outside information industries,Luxembourg,Total economy,ICT-intensive,Total,Share of jobs,2015,18.66727,
ICT specialists within and outside information industries,Luxembourg,Total economy,ICT-intensive,Total,Share of jobs,2016,20.68211,
ICT specialists within and outside information industries,Luxembourg,Total economy,ICT-intensive,Total,Share of jobs,2017,21.68519,
ICT specialists within and outside information industries,Luxembourg,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Luxembourg,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Luxembourg,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Luxembourg,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Luxembourg,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Luxembourg,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Luxembourg,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Netherlands,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.944462,
ICT specialists within and outside information industries,Netherlands,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.956849,
ICT specialists within and outside information industries,Netherlands,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,4.18979,
ICT specialists within and outside information industries,Netherlands,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,4.31181,
ICT specialists within and outside information industries,Netherlands,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,4.557766,
ICT specialists within and outside information industries,Netherlands,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,4.550697,
ICT specialists within and outside information industries,Netherlands,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,4.498288,
ICT specialists within and outside information industries,Netherlands,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,8.94261,
ICT specialists within and outside information industries,Netherlands,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,9.092883,
ICT specialists within and outside information industries,Netherlands,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,10.61422,
ICT specialists within and outside information industries,Netherlands,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,10.91039,
ICT specialists within and outside information industries,Netherlands,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,11.07553,
ICT specialists within and outside information industries,Netherlands,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,11.03422,
ICT specialists within and outside information industries,Netherlands,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,11.23532,
ICT specialists within and outside information industries,Netherlands,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,87.11293,
ICT specialists within and outside information industries,Netherlands,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,86.95027,
ICT specialists within and outside information industries,Netherlands,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,85.19598,
ICT specialists within and outside information industries,Netherlands,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,84.77915,
ICT specialists within and outside information industries,Netherlands,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,84.36537,
ICT specialists within and outside information industries,Netherlands,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,84.41508,
ICT specialists within and outside information industries,Netherlands,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,84.26639,
ICT specialists within and outside information industries,Netherlands,Total economy,ICT-intensive,Total,Share of jobs,2011,12.88707,
ICT specialists within and outside information industries,Netherlands,Total economy,ICT-intensive,Total,Share of jobs,2012,13.04973,
ICT specialists within and outside information industries,Netherlands,Total economy,ICT-intensive,Total,Share of jobs,2013,14.80401,
ICT specialists within and outside information industries,Netherlands,Total economy,ICT-intensive,Total,Share of jobs,2014,15.2222,
ICT specialists within and outside information industries,Netherlands,Total economy,ICT-intensive,Total,Share of jobs,2015,15.6333,
ICT specialists within and outside information industries,Netherlands,Total economy,ICT-intensive,Total,Share of jobs,2016,15.58491,
ICT specialists within and outside information industries,Netherlands,Total economy,ICT-intensive,Total,Share of jobs,2017,15.73361,
ICT specialists within and outside information industries,Netherlands,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Netherlands,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Netherlands,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Netherlands,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Netherlands,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Netherlands,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Netherlands,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Norway,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.620536,
ICT specialists within and outside information industries,Norway,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.461923,
ICT specialists within and outside information industries,Norway,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,3.682618,
ICT specialists within and outside information industries,Norway,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,3.7456,
ICT specialists within and outside information industries,Norway,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,3.625044,
ICT specialists within and outside information industries,Norway,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,3.509656,
ICT specialists within and outside information industries,Norway,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,3.864789,
ICT specialists within and outside information industries,Norway,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,9.763242,
ICT specialists within and outside information industries,Norway,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,10.39776,
ICT specialists within and outside information industries,Norway,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,10.58205,
ICT specialists within and outside information industries,Norway,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,10.36665,
ICT specialists within and outside information industries,Norway,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,10.49687,
ICT specialists within and outside information industries,Norway,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,10.29434,
ICT specialists within and outside information industries,Norway,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,10.85568,
ICT specialists within and outside information industries,Norway,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,86.61622,
ICT specialists within and outside information industries,Norway,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,86.14032,
ICT specialists within and outside information industries,Norway,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,85.73533,
ICT specialists within and outside information industries,Norway,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,85.88775,
ICT specialists within and outside information industries,Norway,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,85.87809,
ICT specialists within and outside information industries,Norway,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,86.19601,
ICT specialists within and outside information industries,Norway,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,85.27954,
ICT specialists within and outside information industries,Norway,Total economy,ICT-intensive,Total,Share of jobs,2011,13.38378,
ICT specialists within and outside information industries,Norway,Total economy,ICT-intensive,Total,Share of jobs,2012,13.85968,
ICT specialists within and outside information industries,Norway,Total economy,ICT-intensive,Total,Share of jobs,2013,14.26467,
ICT specialists within and outside information industries,Norway,Total economy,ICT-intensive,Total,Share of jobs,2014,14.11225,
ICT specialists within and outside information industries,Norway,Total economy,ICT-intensive,Total,Share of jobs,2015,14.12191,
ICT specialists within and outside information industries,Norway,Total economy,ICT-intensive,Total,Share of jobs,2016,13.80399,
ICT specialists within and outside information industries,Norway,Total economy,ICT-intensive,Total,Share of jobs,2017,14.72047,
ICT specialists within and outside information industries,Norway,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Norway,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Norway,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Norway,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Norway,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Norway,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Norway,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Poland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,1.999856,
ICT specialists within and outside information industries,Poland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,2.221512,
ICT specialists within and outside information industries,Poland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,2.293653,
ICT specialists within and outside information industries,Poland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,2.421645,
ICT specialists within and outside information industries,Poland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,2.490959,
ICT specialists within and outside information industries,Poland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,2.468993,
ICT specialists within and outside information industries,Poland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,2.536061,
ICT specialists within and outside information industries,Poland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,7.267037,
ICT specialists within and outside information industries,Poland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,7.821601,
